2.5 0 5 1.6340551 0.79539817 1.0746299
7.5 5 10 0.54259183 -0.022553958 0.10312368
12.5 10 15 0.24424977 -0.087333011 0.023532331
17.5 15 20 0.1303577 -0.077535009 0.0088204331
22.5 20 25 0.077076203 -0.061688056 0.0049906373
27.5 25 30 0.048518565 -0.048465676 0.0033599602
32.5 30 35 0.031894503 -0.038472358 0.0025260718
37.5 35 40 0.021665575 -0.030870661 0.0021586149
42.5 40 45 0.015030259 -0.025166447 0.0017618794
47.5 45 50 0.010622669 -0.020610072 0.0014604125
52.5 50 55 0.0076063636 -0.017118666 0.0012436733
57.5 55 60 0.0054819587 -0.014307526 0.0010262613
62.5 60 65 0.0039613171 -0.012250971 0.00095163498
67.5 65 70 0.002895583 -0.01047065 0.00091415013
72.5 70 75 0.0020792086 -0.0089437964 0.00082030855
77.5 75 80 0.0015264628 -0.0076136116 0.00069625896
82.5 80 85 0.00118416 -0.0064721278 0.00057193247
87.5 85 90 0.0011331697 -0.0054695862 0.00047318656
92.5 90 95 0.0012668632 -0.0046594471 0.00049446832
97.5 95 100 0.0014422123 -0.0041420806 0.00048318256
102.5 100 105 0.0014403939 -0.0036974764 0.00038859567
107.5 105 110 0.0011822502 -0.0032521055 0.0003479153
112.5 110 115 0.00080463595 -0.0029362508 0.00034705474
117.5 115 120 0.00039937774 -0.0027946809 0.0003900946
122.5 120 125 6.6990648e-05 -0.0026102461 0.0003716844
127.5 125 130 -0.00014756621 -0.0024563365 0.00031008847
132.5 130 135 -0.00026914126 -0.0023338674 0.00023992914
137.5 135 140 -0.00031775408 -0.0021363614 0.00023407156
142.5 140 145 -0.000345814 -0.0019281797 0.00025290055
147.5 145 150 -0.00034494339 -0.0017243289 0.00025121689
